Date,Open,High,Low,Close,Adj Close,Volume
2020-05-12,96.459999,96.680000,93.730003,93.800003,93.126862,5384200
2020-05-13,93.269997,94.669998,90.839996,92.160004,91.498634,11622500
2020-05-14,90.500000,91.779999,89.339996,91.779999,91.121361,8189200
2020-05-15,89.959999,91.160004,88.790001,89.889999,89.244926,13609400
2020-05-18,91.900002,93.000000,90.019997,90.269997,89.622192,7648900
2020-05-19,90.330002,90.500000,88.110001,88.220001,87.586906,7693100
2020-05-20,89.580002,90.419998,88.029999,90.089996,89.443489,7488800
2020-05-21,89.639999,90.610001,88.379997,90.389999,89.741333,6148300
2020-05-22,90.419998,91.540001,89.709999,91.470001,90.813583,5184500
2020-05-26,92.949997,93.290001,89.169998,89.480003,88.837868,6243800
2020-05-27,89.279999,90.779999,88.169998,90.760002,90.108681,5420600
2020-05-28,91.949997,93.330002,91.209999,92.099998,91.439056,5316300
2020-05-29,92.900002,95.589996,90.750000,94.919998,94.238823,10141100
2020-06-01,92.949997,93.959999,92.040001,93.010002,92.342529,5451600
2020-06-02,92.919998,93.150002,91.760002,92.620003,91.955330,6394100
2020-06-03,92.559998,92.699997,90.559998,91.400002,90.744087,8056300
2020-06-04,91.050003,91.339996,88.239998,88.250000,87.616692,9113600
2020-06-05,88.470001,89.959999,87.320000,89.860001,89.215141,11874500
2020-06-08,88.980003,92.610001,88.910004,92.559998,91.895760,5426800
2020-06-09,92.320000,92.820000,90.239998,90.269997,89.622192,4857400
2020-06-10,90.849998,92.750000,90.639999,92.160004,91.498634,5829100
2020-06-11,92.169998,92.500000,86.940002,87.779999,87.150063,8168300
2020-06-12,89.250000,90.190002,87.589996,89.019997,88.381157,5590400
2020-06-15,87.519997,90.349998,87.050003,89.550003,88.907364,5666000
2020-06-16,90.620003,91.760002,89.139999,89.739998,89.095993,6143400
2020-06-17,90.419998,91.669998,90.099998,90.900002,90.247673,4359100
2020-06-18,90.500000,91.339996,89.570000,90.279999,89.632126,6022900
2020-06-19,91.669998,92.400002,90.610001,90.680000,90.029259,9473300
2020-06-22,90.330002,90.650002,89.160004,90.339996,89.691689,5072800
2020-06-23,91.110001,92.300003,90.790001,91.300003,90.644806,4156900
2020-06-24,90.629997,90.730003,86.820000,87.300003,86.673508,6141900
2020-06-25,87.239998,89.809998,86.160004,89.620003,88.976860,5781100
2020-06-26,89.820000,89.949997,87.940002,88.709999,88.073387,8522500
2020-06-29,89.580002,89.699997,88.089996,89.010002,88.371239,4666500
2020-06-30,88.750000,91.900002,88.440002,91.430000,90.773872,5220900
2020-07-01,91.980003,91.980003,90.430000,91.639999,90.982368,3389600
2020-07-02,92.500000,93.059998,91.930000,92.230003,91.568130,3845300
2020-07-06,92.760002,93.970001,92.449997,92.970001,92.302826,5919100
2020-07-07,92.459999,93.400002,92.089996,92.459999,91.796478,3389200
2020-07-08,92.839996,93.669998,91.500000,92.580002,91.915619,3815300
2020-07-09,92.739998,94.879997,91.849998,93.669998,92.997795,4576800
2020-07-10,93.470001,93.800003,92.320000,93.040001,92.372314,2923200
2020-07-13,93.139999,95.620003,92.790001,93.089996,92.421951,4297300
2020-07-14,92.639999,94.980003,91.709999,94.820000,94.505013,4122800
2020-07-15,95.900002,97.129997,95.769997,96.730003,96.408669,6205000
2020-07-16,97.849998,97.989998,94.290001,96.400002,96.079765,7582200
2020-07-17,97.870003,100.000000,97.680000,99.250000,98.920296,8315500
2020-07-20,100.000000,100.709999,98.720001,99.080002,98.750862,5677900
2020-07-21,98.879997,99.480003,97.760002,98.190002,97.863823,5064900
2020-07-22,98.110001,100.570000,98.000000,100.190002,99.857178,4662000
2020-07-23,100.279999,101.980003,100.070000,100.820000,100.485085,5905800
2020-07-24,100.209999,100.209999,98.360001,98.949997,98.621292,4534400
2020-07-27,98.550003,100.279999,98.410004,99.989998,99.657837,3717900
2020-07-28,100.139999,100.790001,99.269997,99.860001,99.528275,4114200
2020-07-29,100.180000,102.889999,100.089996,102.519997,102.179428,4744200
2020-07-30,100.980003,101.580002,100.239998,101.529999,101.192719,3176900
2020-07-31,101.209999,101.370003,99.120003,100.639999,100.305679,4604000
2020-08-03,101.080002,101.550003,100.209999,100.680000,100.345551,3670900
2020-08-04,100.160004,100.680000,99.279999,99.930000,99.598038,2730600
2020-08-05,99.970001,102.360001,99.879997,102.139999,101.800697,4416000
2020-08-06,101.519997,101.800003,99.919998,101.750000,101.411995,3943000
2020-08-07,101.699997,102.300003,100.559998,101.230003,100.893723,3141900
2020-08-10,100.940002,101.260002,100.029999,100.040001,99.707672,2776300
2020-08-11,100.430000,100.430000,98.669998,99.059998,98.730927,4823000
2020-08-12,99.550003,101.099998,99.320000,100.650002,100.315651,2668900
2020-08-13,100.339996,101.269997,100.000000,101.099998,100.764153,2951700
2020-08-14,100.930000,101.220001,99.580002,99.989998,99.657837,2739900
2020-08-17,100.300003,101.419998,100.209999,100.709999,100.375443,4657400
2020-08-18,101.089996,101.720001,100.430000,100.959999,100.624619,3777600
2020-08-19,101.080002,101.620003,100.330002,100.480003,100.146217,2716800
2020-08-20,99.989998,102.019997,99.750000,101.629997,101.292389,3548600
2020-08-21,101.629997,102.540001,100.839996,102.400002,102.059837,3585000
2020-08-24,102.699997,103.230003,100.699997,101.389999,101.053185,3212700
2020-08-25,101.980003,102.900002,101.519997,102.470001,102.129601,2626400
2020-08-26,101.989998,103.290001,101.260002,103.190002,102.847214,2968800
2020-08-27,111.010002,114.000000,109.519997,111.290001,110.920303,36319000
2020-08-28,113.540001,114.199997,109.410004,110.790001,110.421959,17204000
2020-08-31,110.699997,111.739998,109.260002,109.470001,109.106346,6943200
2020-09-01,108.930000,109.070000,105.580002,106.550003,106.196053,7968000
2020-09-02,106.449997,109.910004,105.879997,109.440002,109.076447,5843700
2020-09-03,108.699997,108.940002,104.300003,105.529999,105.179436,6096900
2020-09-04,105.449997,106.040001,102.419998,104.160004,103.813988,5027700
2020-09-08,103.169998,103.820000,102.430000,102.839996,102.498367,5217700
2020-09-09,104.260002,106.930000,104.129997,105.809998,105.458504,4365100
2020-09-10,105.599998,105.599998,103.730003,104.000000,103.654518,4271200
2020-09-11,105.279999,105.699997,104.320000,104.699997,104.352188,4111000
2020-09-14,105.589996,106.660004,105.120003,105.690002,105.338905,3824100
2020-09-15,107.000000,107.529999,106.169998,106.580002,106.225952,3654900
2020-09-16,106.949997,107.370003,105.660004,105.699997,105.348869,4242500
2020-09-17,104.959999,106.750000,104.389999,106.660004,106.305687,4283500
2020-09-18,106.559998,107.989998,106.139999,106.860001,106.505020,7622400
2020-09-21,105.800003,106.459999,104.459999,105.949997,105.598038,4559800
2020-09-22,105.459999,105.519997,103.570000,104.800003,104.451866,4180300
2020-09-23,104.989998,104.989998,102.230003,102.730003,102.388741,4040100
2020-09-24,102.750000,103.529999,100.470001,100.919998,100.584747,7604000
2020-09-25,100.559998,103.610001,100.339996,103.449997,103.106339,5060300
2020-09-28,104.239998,105.250000,103.820000,104.440002,104.093056,5515500
2020-09-29,106.010002,106.410004,104.919998,105.190002,104.840569,4464300
2020-09-30,105.989998,109.480003,105.739998,108.830002,108.468475,9483300
2020-10-01,109.180000,110.330002,108.379997,108.639999,108.279106,7242100
2020-10-02,107.680000,108.660004,106.330002,106.500000,106.146210,5590500
2020-10-05,107.180000,108.650002,107.180000,108.559998,108.199364,3603400
2020-10-06,108.559998,108.769997,106.050003,106.250000,105.897041,3992600
2020-10-07,107.370003,108.180000,106.930000,107.739998,107.382088,4162400
2020-10-08,108.139999,109.129997,107.419998,108.540001,108.179436,4168400
2020-10-09,109.339996,109.970001,108.800003,109.650002,109.285751,3060700
2020-10-12,110.250000,111.570000,109.760002,111.050003,110.681099,4201800
2020-10-13,110.500000,110.989998,108.250000,108.370003,108.010002,4773600
2020-10-14,108.610001,109.830002,107.339996,107.750000,107.750000,4191600
2020-10-15,106.849998,107.739998,106.309998,107.320000,107.320000,3518500
2020-10-16,107.699997,110.379997,107.699997,109.669998,109.669998,4363500
2020-10-19,109.900002,111.040001,107.820000,108.040001,108.040001,4228500
2020-10-20,108.349998,109.889999,108.110001,108.360001,108.360001,3873500
2020-10-21,108.010002,109.000000,104.750000,105.930000,105.930000,5716000
2020-10-22,106.419998,110.050003,106.239998,109.480003,109.480003,4953800
2020-10-23,109.639999,110.000000,107.570000,107.790001,107.790001,3573000
2020-10-26,107.570000,109.160004,107.050003,109.000000,109.000000,7298000
2020-10-27,108.889999,109.750000,108.330002,108.580002,108.580002,4518000
2020-10-28,106.809998,107.410004,105.379997,106.419998,106.419998,7104700
2020-10-29,106.379997,106.580002,104.570000,105.000000,105.000000,4237600
2020-10-30,104.760002,105.550003,103.129997,105.110001,105.110001,4433200
2020-11-02,107.089996,108.699997,106.110001,107.480003,107.480003,5907100
2020-11-03,108.739998,110.800003,108.360001,109.559998,109.559998,3870100
2020-11-04,110.169998,114.230003,110.110001,111.529999,111.529999,7421200
2020-11-05,113.510002,114.839996,112.720001,113.529999,113.529999,5139900
2020-11-06,113.879997,115.139999,112.839996,114.419998,114.419998,5644100
2020-11-09,111.800003,113.209999,106.190002,109.389999,109.389999,13990700
2020-11-10,109.250000,111.589996,108.400002,110.809998,110.809998,5243500
2020-11-11,111.940002,112.949997,111.470001,112.650002,112.650002,3994000
2020-11-12,112.410004,112.860001,111.300003,111.949997,111.949997,2816800
2020-11-13,113.000000,113.089996,111.419998,112.599998,112.599998,3918900
2020-11-16,112.050003,113.750000,111.589996,113.669998,113.669998,4144900
2020-11-17,113.220001,114.620003,112.339996,113.059998,113.059998,3793000
2020-11-18,113.669998,113.709999,109.750000,109.769997,109.769997,4545700
2020-11-19,110.000000,111.199997,109.260002,111.000000,111.000000,3548100
2020-11-20,110.739998,111.760002,110.070000,110.889999,110.889999,4075300
2020-11-23,111.430000,111.519997,108.860001,109.269997,109.269997,4105500
2020-11-24,109.309998,109.589996,107.250000,107.610001,107.610001,7316300
2020-11-25,107.050003,108.400002,105.629997,106.410004,106.410004,6224100
2020-11-27,106.669998,107.750000,105.870003,107.620003,107.620003,1979000
2020-11-30,107.769997,108.550003,107.089996,108.220001,108.220001,5702300
2020-12-01,109.239998,109.599998,108.070000,108.489998,108.489998,4265200
2020-12-02,108.309998,108.629997,107.360001,108.150002,108.150002,3444700
2020-12-03,108.150002,108.639999,107.080002,107.529999,107.529999,3846300
2020-12-04,107.080002,108.269997,106.930000,107.900002,107.900002,4686800
2020-12-07,107.720001,108.300003,106.639999,107.180000,107.180000,6928000
2020-12-08,106.800003,107.239998,106.209999,106.800003,106.800003,6643500
2020-12-09,107.099998,107.690002,105.519997,106.320000,106.320000,5742400
2020-12-10,106.760002,107.089996,106.040001,106.519997,106.519997,4828500
2020-12-11,106.099998,107.349998,105.320000,107.019997,107.019997,4719000
2020-12-14,107.500000,109.169998,106.769997,106.790001,106.790001,6250000
2020-12-15,106.940002,108.410004,106.400002,107.449997,107.449997,5256600
2020-12-16,107.449997,108.209999,106.610001,107.339996,107.339996,4458700
2020-12-17,107.830002,108.940002,107.610001,108.779999,108.779999,3924300
2020-12-18,108.849998,109.610001,107.489998,108.970001,108.970001,10669800
2020-12-21,107.559998,108.180000,105.370003,108.089996,108.089996,4544000
2020-12-22,107.830002,109.040001,106.959999,108.279999,108.279999,3426400
2020-12-23,108.870003,109.680000,107.430000,107.449997,107.449997,3149500
2020-12-24,107.440002,108.949997,107.379997,108.349998,108.349998,1451500
