Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,190.539993,190.820007,186.089996,187.139999,186.821503,1752700
2020-07-07,185.919998,188.910004,185.720001,187.820007,187.500351,1923500
2020-07-08,188.000000,188.389999,185.600006,186.529999,186.212540,2228500
2020-07-09,186.649994,190.550003,186.550003,189.740005,189.417084,1737000
2020-07-10,189.910004,190.490005,186.839996,188.240005,187.919632,1429900
2020-07-13,188.570007,191.149994,185.820007,186.460007,186.142654,1791800
2020-07-14,186.029999,189.850006,185.539993,189.729996,189.407089,1999400
2020-07-15,190.389999,190.899994,188.119995,189.429993,189.107590,1597300
2020-07-16,189.360001,191.380005,187.309998,188.919998,188.598465,1471500
2020-07-17,190.160004,190.330002,188.059998,188.479996,188.159210,2204200
2020-07-20,189.619995,193.089996,189.100006,192.770004,192.441925,1410300
2020-07-21,192.539993,193.500000,190.110001,191.860001,191.533463,1542100
2020-07-22,191.809998,195.440002,190.759995,195.149994,194.817856,1714700
2020-07-23,195.500000,195.820007,191.270004,191.649994,191.323822,1589400
2020-07-24,190.830002,192.940002,190.509995,191.699997,191.373734,1107900
2020-07-27,191.789993,192.289993,189.529999,189.949997,189.626709,1475500
2020-07-28,190.130005,191.830002,189.270004,190.029999,189.706573,1281800
2020-07-29,190.949997,192.429993,190.600006,191.380005,191.054291,1065700
2020-07-30,191.050003,192.080002,190.089996,191.320007,190.994385,1054100
2020-07-31,191.380005,191.750000,187.759995,190.399994,190.075943,1334000
2020-08-03,190.699997,193.279999,190.699997,192.889999,192.561707,1418400
2020-08-04,192.089996,195.600006,191.570007,195.429993,195.097382,1764200
2020-08-05,196.139999,197.350006,194.070007,195.279999,194.947647,2014100
2020-08-06,194.240005,194.779999,190.270004,192.550003,192.222290,1800700
2020-08-07,193.190002,195.580002,192.759995,195.289993,194.957626,1488600
2020-08-10,195.300003,195.309998,192.190002,193.289993,192.961029,2610100
2020-08-11,192.880005,192.970001,190.789993,191.089996,190.764771,1164100
2020-08-12,193.000000,197.380005,191.589996,196.830002,196.495010,1763200
2020-08-13,197.240005,197.919998,195.270004,196.080002,195.746277,1379800
2020-08-14,196.410004,198.910004,196.130005,198.550003,198.212082,1400900
2020-08-17,199.289993,202.279999,198.309998,200.729996,200.388367,1906300
2020-08-18,200.949997,200.949997,196.169998,197.979996,197.643036,2003700
2020-08-19,199.610001,201.399994,198.139999,200.130005,199.789398,1559600
2020-08-20,199.419998,200.000000,197.470001,197.800003,197.463364,1658300
2020-08-21,198.500000,200.339996,197.720001,198.929993,198.591431,1787100
2020-08-24,201.000000,201.179993,198.009995,198.320007,197.982483,2686800
2020-08-25,199.130005,199.570007,197.509995,198.660004,198.321899,1552600
2020-08-26,198.740005,204.660004,198.559998,204.089996,203.742645,2407500
2020-08-27,206.000000,206.979996,199.550003,201.339996,200.997330,3846300
2020-08-28,202.250000,202.960007,198.559998,200.389999,200.048950,2231900
2020-08-31,200.929993,203.490005,199.850006,201.880005,201.536407,2112900
2020-09-01,201.600006,203.080002,199.789993,199.899994,199.559769,1748200
2020-09-02,200.000000,204.990005,197.759995,204.100006,203.752640,2416500
2020-09-03,203.389999,203.690002,196.039993,196.800003,196.465057,2163400
2020-09-04,196.970001,198.169998,191.470001,195.720001,195.386902,1777100
2020-09-08,194.130005,195.710007,190.759995,192.399994,192.072540,2235700
2020-09-09,193.350006,198.910004,193.199997,197.449997,197.113953,1714700
2020-09-10,197.449997,200.350006,196.729996,197.119995,196.784500,1829500
2020-09-11,197.979996,200.940002,197.910004,200.500000,200.158752,1676900
2020-09-14,201.130005,203.750000,200.809998,202.110001,201.766022,1977400
2020-09-15,202.570007,203.929993,201.789993,202.869995,202.524719,1526200
2020-09-16,203.899994,204.880005,202.399994,202.750000,202.404922,1855800
2020-09-17,200.619995,204.130005,200.500000,203.500000,203.153656,1934500
2020-09-18,204.320007,208.990005,203.740005,208.100006,207.745834,3920100
2020-09-21,206.919998,207.360001,202.309998,202.940002,202.594604,2316400
2020-09-22,202.309998,208.960007,202.309998,208.339996,207.985413,1857400
2020-09-23,208.440002,209.860001,203.830002,204.220001,203.872421,1893000
2020-09-24,204.220001,206.289993,202.580002,205.020004,204.671066,1407600
2020-09-25,205.110001,209.339996,204.350006,208.389999,208.035324,1160300
2020-09-28,208.720001,210.889999,206.190002,209.800003,209.442932,1528100
2020-09-29,209.500000,211.979996,209.250000,209.639999,209.283203,1289400
2020-09-30,210.330002,211.639999,208.350006,209.619995,209.263229,1707600
2020-10-01,211.259995,213.919998,210.970001,211.520004,211.160004,1829200
2020-10-02,209.789993,212.679993,209.559998,211.520004,211.160004,1302600
2020-10-05,212.000000,213.580002,210.820007,213.190002,213.190002,1315800
2020-10-06,214.500000,216.479996,211.570007,212.289993,212.289993,1670200
2020-10-07,213.869995,215.729996,213.600006,214.529999,214.529999,1572900
2020-10-08,216.660004,219.399994,215.899994,218.880005,218.880005,1412200
2020-10-09,219.850006,222.779999,219.720001,220.979996,220.979996,1301300
2020-10-12,222.119995,222.509995,220.000000,220.559998,220.559998,1505600
2020-10-13,220.699997,223.940002,220.699997,223.000000,223.000000,1122500
2020-10-14,222.699997,222.779999,219.750000,220.100006,220.100006,1178600
2020-10-15,219.940002,223.649994,219.139999,222.869995,222.869995,1498000
2020-10-16,224.029999,224.820007,221.710007,221.710007,221.710007,1604000
2020-10-19,222.429993,224.070007,217.380005,218.070007,218.070007,1558700
2020-10-20,218.070007,220.259995,217.410004,217.779999,217.779999,1056100
2020-10-21,217.830002,221.720001,217.830002,219.860001,219.860001,1758400
2020-10-22,218.880005,219.479996,213.800003,214.320007,214.320007,1345300
2020-10-23,214.070007,215.830002,212.710007,215.440002,215.440002,1333700
2020-10-26,214.020004,214.830002,209.639999,212.039993,212.039993,1194300
2020-10-27,212.500000,214.720001,211.699997,213.710007,213.710007,1073600
2020-10-28,212.179993,215.330002,210.039993,211.020004,211.020004,1568500
2020-10-29,210.809998,212.800003,209.619995,210.729996,210.729996,1251000
2020-10-30,210.000000,211.240005,206.139999,208.710007,208.710007,1830000
2020-11-02,209.750000,212.110001,207.089996,209.520004,209.520004,1550100
2020-11-03,211.300003,216.910004,211.160004,214.100006,214.100006,1452500
2020-11-04,216.770004,219.479996,214.660004,216.229996,216.229996,1646200
2020-11-05,219.000000,220.600006,216.070007,218.009995,218.009995,1406700
2020-11-06,218.330002,222.070007,216.619995,221.399994,221.399994,926200
2020-11-09,224.869995,225.250000,210.240005,210.490005,210.490005,2640600
2020-11-10,210.979996,213.990005,208.250000,210.559998,210.559998,1878900
2020-11-11,211.500000,216.570007,211.500000,213.570007,213.570007,1507600
2020-11-12,214.000000,214.020004,209.720001,212.779999,212.779999,1442100
2020-11-13,213.850006,215.220001,211.679993,213.899994,213.899994,1231800
2020-11-16,214.300003,215.500000,212.500000,213.089996,213.089996,1768900
2020-11-17,212.000000,212.419998,208.419998,208.750000,208.750000,2241700
2020-11-18,208.929993,211.570007,206.300003,208.570007,208.570007,1843000
2020-11-19,209.009995,211.889999,207.500000,211.210007,211.210007,1837900
2020-11-20,211.009995,213.289993,210.070007,210.229996,210.229996,1433900
2020-11-23,211.360001,212.729996,210.270004,211.039993,211.039993,1455700
2020-11-24,212.009995,214.440002,211.710007,212.979996,212.979996,1723200
2020-11-25,213.750000,217.490005,213.039993,217.000000,217.000000,1363400
2020-11-27,216.929993,218.259995,216.330002,218.009995,218.009995,723000
2020-11-30,218.509995,218.940002,214.320007,218.580002,218.580002,2911400
2020-12-01,218.889999,221.669998,218.080002,219.839996,219.839996,2028800
2020-12-02,219.089996,219.479996,216.550003,217.539993,217.539993,1756600
2020-12-03,213.479996,216.000000,211.500000,214.490005,214.490005,3042300
2020-12-04,214.199997,215.869995,212.190002,213.429993,213.429993,1867200
2020-12-07,214.009995,217.210007,211.929993,213.360001,213.360001,1962100
2020-12-08,212.149994,212.850006,210.190002,211.369995,211.369995,1691500
2020-12-09,211.500000,212.210007,206.110001,208.979996,208.979996,2347400
2020-12-10,208.440002,208.929993,205.259995,205.869995,205.869995,2264100
2020-12-11,206.149994,207.820007,205.690002,206.610001,206.610001,1745500
2020-12-14,206.800003,207.699997,205.619995,205.899994,205.899994,1858500
2020-12-15,206.600006,208.970001,205.880005,207.779999,207.779999,2247800
2020-12-16,207.949997,212.250000,207.759995,211.020004,211.020004,1710400
2020-12-17,212.009995,213.369995,211.470001,212.550003,212.550003,1670000
2020-12-18,212.869995,213.259995,209.960007,210.479996,210.479996,4192600
2020-12-21,209.000000,212.199997,206.820007,210.960007,210.960007,1996800
2020-12-22,212.039993,213.500000,210.830002,213.070007,213.070007,1703500
2020-12-23,211.860001,213.339996,211.020004,211.169998,211.169998,1691200
2020-12-24,211.350006,212.350006,210.639999,211.279999,211.279999,535700
