Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,56.000000,56.939999,56.000000,56.509998,55.293716,10902400
2020-05-06,56.360001,56.660000,55.540001,55.639999,54.442444,12460400
2020-05-07,56.099998,56.150002,55.180000,55.580002,54.383739,14083100
2020-05-08,56.220001,57.029999,56.029999,57.000000,55.773174,11100300
2020-05-11,56.869999,56.910000,56.240002,56.400002,55.186092,12636800
2020-05-12,56.750000,56.750000,55.450001,55.459999,54.266319,13117700
2020-05-13,55.160000,55.549999,54.560001,54.849998,53.669449,20604500
2020-05-14,54.500000,54.930000,53.849998,54.910000,53.728157,15859200
2020-05-15,54.630001,54.759998,54.209999,54.709999,53.532459,10174000
2020-05-18,55.650002,56.200001,55.040001,55.720001,54.520725,15739200
2020-05-19,55.430000,55.549999,54.320000,54.380001,53.209568,18467100
2020-05-20,54.540001,54.900002,54.049999,54.259998,53.092148,21405400
2020-05-21,54.430000,54.639999,53.860001,53.970001,52.808392,18201000
2020-05-22,53.959999,54.290001,53.669998,54.099998,52.935589,19960000
2020-05-26,54.900002,55.250000,54.180000,54.299999,53.131287,20830500
2020-05-27,54.610001,55.220001,54.430000,55.139999,53.953209,17063800
2020-05-28,55.580002,55.790001,55.160000,55.720001,54.520725,15427900
2020-05-29,55.330002,57.790001,54.889999,57.380001,56.144997,34255800
2020-06-01,56.700001,56.900002,55.750000,55.779999,54.579433,18156100
2020-06-02,55.820000,56.459999,55.540001,56.400002,55.186092,17300400
2020-06-03,56.520000,56.980000,56.299999,56.830002,55.606834,16086700
2020-06-04,56.740002,57.369999,56.509998,57.220001,55.988441,16147300
2020-06-05,57.750000,58.119999,57.080002,57.740002,56.497250,17105600
2020-06-08,57.650002,58.200001,57.270000,58.090000,56.839714,14963000
2020-06-09,57.750000,58.130001,57.369999,57.860001,56.614662,14530800
2020-06-10,57.900002,58.230000,57.700001,58.049999,56.800575,13649100
2020-06-11,57.480000,57.939999,56.400002,56.450001,55.235012,23412500
2020-06-12,56.630001,56.810001,55.790001,56.529999,55.313290,17129000
2020-06-15,55.730000,56.540001,55.279999,56.150002,54.941471,14826800
2020-06-16,56.830002,57.320000,56.240002,56.919998,55.694897,15021300
2020-06-17,57.139999,57.169998,56.509998,56.650002,55.430710,10651000
2020-06-18,56.500000,56.959999,56.369999,56.889999,55.665543,9019500
2020-06-19,57.349998,57.470001,56.000000,56.160000,54.951252,28868200
2020-06-22,55.910000,56.259998,55.610001,55.660000,54.462017,12333900
2020-06-23,55.750000,55.849998,54.910000,54.939999,53.757511,20716400
2020-06-24,54.540001,54.560001,53.459999,53.930000,52.769249,24794600
2020-06-25,53.910000,54.389999,53.340000,54.279999,53.111717,17122500
2020-06-26,54.040001,54.060001,52.849998,53.160000,52.015823,30211900
2020-06-29,53.310001,54.709999,53.310001,54.689999,53.512894,15920900
2020-06-30,54.919998,55.290001,54.360001,55.130001,53.943424,17414800
2020-07-01,55.090000,55.330002,54.580002,54.669998,53.493324,12831600
2020-07-02,55.049999,55.410000,54.740002,54.790001,53.610744,15814500
2020-07-06,55.349998,55.430000,54.910000,55.240002,54.051060,11231100
2020-07-07,54.919998,55.330002,54.799999,55.040001,53.855362,13319700
2020-07-08,55.110001,55.439999,54.820000,55.380001,54.188042,15320800
2020-07-09,54.650002,54.650002,53.750000,53.939999,53.371735,17618400
2020-07-10,53.840000,54.580002,53.840000,54.490002,53.915943,15652200
2020-07-13,54.750000,54.770000,54.139999,54.450001,53.876362,15285100
2020-07-14,54.430000,55.650002,54.270000,55.439999,54.855930,15683600
2020-07-15,55.610001,55.720001,55.020000,55.060001,54.479939,13903600
2020-07-16,54.869999,55.830002,54.759998,55.779999,55.192348,13477400
2020-07-17,56.000000,56.599998,55.889999,56.299999,55.706871,13506300
2020-07-20,56.279999,56.279999,55.660000,55.869999,55.281403,10572900
2020-07-21,55.840000,56.500000,55.799999,55.840000,55.251720,12620900
2020-07-22,55.840000,55.950001,55.369999,55.750000,55.162666,11223500
2020-07-23,55.810001,56.090000,55.400002,55.849998,55.261612,16718700
2020-07-24,56.349998,57.570000,56.139999,56.849998,56.251076,17981700
2020-07-27,57.000000,57.330002,56.509998,56.869999,56.270866,12306700
2020-07-28,57.049999,57.700001,56.970001,57.480000,56.874439,13454700
2020-07-29,57.369999,57.689999,57.160000,57.450001,56.844757,9341800
2020-07-30,57.209999,57.459999,57.139999,57.299999,56.696339,12635800
2020-07-31,56.849998,57.500000,56.650002,57.480000,56.874439,16202900
2020-08-03,57.869999,57.869999,57.119999,57.240002,56.636971,13493400
2020-08-04,57.200001,58.139999,57.180000,57.910000,57.299911,11601000
2020-08-05,58.160000,58.189999,57.410000,57.540001,56.933811,9811700
2020-08-06,57.500000,57.950001,57.450001,57.830002,57.220757,10369900
2020-08-07,57.820000,58.549999,57.650002,58.529999,57.913380,12779500
2020-08-10,58.650002,59.150002,58.470001,58.990002,58.368534,12114500
2020-08-11,59.299999,59.610001,58.250000,58.509998,57.893589,12833100
2020-08-12,58.599998,58.970001,58.520000,58.599998,57.982639,10804000
2020-08-13,58.299999,58.599998,58.189999,58.520000,57.903484,7428600
2020-08-14,58.480000,58.939999,58.250000,58.790001,58.170643,8715900
2020-08-17,58.730000,58.930000,58.549999,58.779999,58.160744,8371900
2020-08-18,58.860001,59.470001,58.779999,59.180000,58.556530,10130600
2020-08-19,59.360001,59.439999,58.930000,59.049999,58.427902,10816300
2020-08-20,58.599998,59.090000,58.590000,58.959999,58.338848,8061500
2020-08-21,59.000000,59.040001,58.540001,58.990002,58.368534,11059300
2020-08-24,59.099998,59.610001,59.000000,59.570000,58.942421,10931500
2020-08-25,59.700001,59.750000,59.180000,59.419998,58.794003,11316800
2020-08-26,59.299999,59.500000,58.900002,59.459999,58.833580,15096400
2020-08-27,59.599998,59.790001,59.410000,59.430000,58.803898,11405300
2020-08-28,59.410000,59.410000,58.820000,59.259998,58.635689,11873900
2020-08-31,59.040001,59.439999,59.020000,59.270000,58.645584,14555500
2020-09-01,59.119999,59.299999,58.779999,59.160000,58.536743,13359400
2020-09-02,59.150002,60.740002,59.000000,60.529999,59.892307,21711900
2020-09-03,60.830002,61.279999,60.139999,60.610001,59.971466,23126800
2020-09-04,60.480000,61.500000,60.060001,60.480000,59.842834,22250100
2020-09-08,60.799999,60.799999,59.619999,59.959999,59.328312,18469700
2020-09-09,60.119999,60.750000,59.970001,60.040001,59.407471,15896200
2020-09-10,60.230000,60.250000,59.410000,59.529999,58.902843,15811200
2020-09-11,59.580002,59.959999,59.360001,59.790001,59.160107,13924800
2020-09-14,60.020000,60.779999,60.000000,60.320000,59.684521,11932500
2020-09-15,60.110001,61.099998,60.099998,60.599998,59.961571,9444300
2020-09-16,60.529999,60.930000,60.320000,60.369999,59.733994,12699000
2020-09-17,60.599998,60.990002,60.099998,60.590000,59.951675,14996200
2020-09-18,60.180000,60.939999,60.150002,60.349998,59.714203,22584500
2020-09-21,60.000000,60.080002,59.020000,59.610001,58.982002,15871400
2020-09-22,59.730000,60.369999,59.520000,59.820000,59.189789,12198900
2020-09-23,59.830002,60.139999,58.849998,58.910000,58.289375,15416200
2020-09-24,59.000000,59.560001,58.650002,59.189999,58.566425,10875300
2020-09-25,58.849998,59.450001,58.810001,59.389999,58.764320,10676300
2020-09-28,59.560001,59.799999,59.180000,59.360001,58.734634,11910500
2020-09-29,59.279999,59.490002,59.099998,59.240002,58.615902,10005900
2020-09-30,59.459999,59.709999,59.049999,59.490002,58.863266,16347800
2020-10-01,59.400002,59.599998,59.029999,59.450001,58.823689,14547100
2020-10-02,59.290001,59.549999,59.110001,59.240002,58.615902,10741800
2020-10-05,59.630001,59.840000,59.259998,59.660000,59.031475,10457400
2020-10-06,59.759998,59.970001,59.330002,59.459999,58.833580,12524900
2020-10-07,59.619999,59.779999,59.200001,59.610001,58.982002,13674700
2020-10-08,59.119999,59.730000,58.970001,59.189999,59.189999,14266400
2020-10-09,59.250000,59.540001,59.080002,59.330002,59.330002,9846200
2020-10-12,59.330002,59.680000,59.150002,59.549999,59.549999,20211200
2020-10-13,59.700001,59.720001,58.849998,59.360001,59.360001,22109600
2020-10-14,59.459999,59.520000,58.389999,58.430000,58.430000,16596700
2020-10-15,58.110001,58.279999,57.720001,58.160000,58.160000,13644500
2020-10-16,58.080002,58.430000,58.009998,58.049999,58.049999,13364200
2020-10-19,58.150002,58.290001,57.080002,57.299999,57.299999,16075100
2020-10-20,57.540001,57.669998,56.759998,57.250000,57.250000,18696200
2020-10-21,57.110001,57.709999,56.689999,56.750000,56.750000,21498300
2020-10-22,56.930000,57.660000,56.509998,57.330002,57.330002,16636100
2020-10-23,57.750000,57.970001,57.459999,57.959999,57.959999,12879600
2020-10-26,57.520000,57.849998,56.970001,57.810001,57.810001,15196800
2020-10-27,57.700001,57.849998,57.310001,57.380001,57.380001,12253000
2020-10-28,56.919998,57.349998,56.119999,56.310001,56.310001,18720200
2020-10-29,56.160000,57.310001,56.020000,56.759998,56.759998,19146100
2020-10-30,56.599998,57.070000,56.369999,56.990002,56.990002,17632800
2020-11-02,57.669998,58.209999,57.000000,57.700001,57.700001,16086400
2020-11-03,57.810001,58.380001,57.509998,57.750000,57.750000,10693500
2020-11-04,57.189999,57.849998,56.580002,57.220001,57.220001,20785700
2020-11-05,58.009998,58.970001,57.799999,58.150002,58.150002,20156400
2020-11-06,58.080002,58.750000,58.009998,58.529999,58.529999,11986200
2020-11-09,60.040001,60.580002,59.509998,59.840000,59.840000,24265900
2020-11-10,60.279999,61.410000,60.200001,61.099998,61.099998,22051800
2020-11-11,61.290001,61.349998,60.470001,61.000000,61.000000,12196900
2020-11-12,60.910000,61.009998,60.340000,60.790001,60.790001,13293300
2020-11-13,60.630001,61.189999,60.380001,61.060001,61.060001,10652800
2020-11-16,60.810001,61.459999,60.700001,60.889999,60.889999,14289400
2020-11-17,60.560001,61.020000,60.360001,60.750000,60.750000,11698200
2020-11-18,61.130001,61.150002,60.299999,60.320000,60.320000,11698800
2020-11-19,60.400002,60.439999,59.900002,60.209999,60.209999,12663000
2020-11-20,60.209999,60.330002,59.950001,60.040001,60.040001,14225400
2020-11-23,60.009998,60.389999,60.000000,60.230000,60.230000,11601400
2020-11-24,60.599998,60.799999,60.360001,60.639999,60.639999,15481400
2020-11-25,60.669998,60.740002,60.330002,60.410000,60.410000,10604300
2020-11-27,60.520000,60.740002,60.410000,60.580002,60.580002,5763700
2020-11-30,60.320000,60.599998,60.189999,60.410000,60.410000,21839100
2020-12-01,60.430000,60.919998,60.279999,60.580002,60.580002,14283200
2020-12-02,61.400002,61.950001,61.009998,61.360001,61.360001,14169900
2020-12-03,61.110001,61.830002,61.040001,61.740002,61.740002,11937200
2020-12-04,61.549999,61.799999,61.270000,61.549999,61.549999,10495800
2020-12-07,61.520000,61.700001,61.180000,61.349998,61.349998,12537500
2020-12-08,61.180000,61.700001,60.880001,61.450001,61.450001,13421100
2020-12-09,61.450001,61.820000,61.090000,61.459999,61.459999,14949500
2020-12-10,61.259998,61.349998,60.330002,60.509998,60.509998,15464400
2020-12-11,60.080002,60.529999,59.970001,60.349998,60.349998,13673000
2020-12-14,60.610001,61.060001,59.770000,59.980000,59.980000,15706500
2020-12-15,60.070000,60.740002,59.970001,60.549999,60.549999,15877200
2020-12-16,60.200001,60.450001,59.669998,59.910000,59.910000,17165900
2020-12-17,59.980000,60.150002,59.610001,60.009998,60.009998,12095500
2020-12-18,60.000000,60.779999,59.790001,60.459999,60.459999,31909400
2020-12-21,60.060001,60.130001,59.279999,59.490002,59.490002,18567500
2020-12-22,59.320000,59.419998,58.860001,58.990002,58.990002,12951500
2020-12-23,59.200001,59.279999,58.889999,58.959999,58.959999,14012100
2020-12-24,59.000000,59.070000,58.660000,58.840000,58.840000,7751100
